,0
0,0
1,2
2,3
3,6
4,7
5,8
6,9
7,10
8,11
9,14
10,15
11,17
12,18
13,20
14,21
15,22
16,23
17,25
18,26
19,27
20,28
21,29
22,30
23,31
24,32
25,33
26,34
27,35
28,36
29,38
30,40
31,41
32,43
33,44
34,47
35,50
36,51
37,53
38,54
39,56
40,58
41,59
42,60
43,61
44,62
45,63
46,64
47,66
48,67
49,68
50,71
51,72
52,75
53,77
54,78
55,80
56,81
57,82
58,83
59,84
60,86
61,89
62,90
63,91
64,94
65,95
66,98
67,99
68,102
69,104
70,105
71,107
72,108
73,110
74,111
75,113
76,115
77,118
78,119
79,126
80,127
81,129
82,130
83,131
84,132
85,133
86,137
87,138
88,142
89,143
90,144
91,145
92,146
93,151
94,154
95,155
96,157
97,158
98,159
99,161
100,164
101,174
102,200
103,205
104,208
105,213
106,214
107,215
108,216
109,217
110,218
111,220
112,223
113,228
114,238
115,239
116,247
117,249
118,253
119,268
120,270
121,271
122,273
123,288
124,291
125,295
126,297
127,302
128,303
129,304
130,305
131,306
132,308
133,310
134,312
135,316
136,319
137,324
138,331
139,332
140,333
141,348
142,349
143,350
144,354
145,356
146,358
147,359
148,360
149,361
150,367
151,384
152,388
153,393
154,407
155,408
156,412
157,418
158,419
159,423
160,425
161,436
162,437
163,439
164,445
165,454
166,459
167,460
168,471
169,473
170,480
171,483
172,484
173,485
174,486
175,487
176,488
177,491
178,493
179,497
180,499
181,500
182,510
183,511
184,520
185,539
186,541
187,543
188,547
189,548
190,553
191,557
192,560
193,561
194,562
195,563
196,565
197,568
198,570
199,574
200,577
201,578
202,579
203,582
204,584
205,586
206,587
207,589
